Journal title,ISSN,eISSN,Categorias,Indexador
Symbolae Osloenses,0039-7679,1502-7805,Classics,Web of Science - AHCI
Symbolic Interaction,0195-6086,1533-8665,Sociology,Web of Science - SSCI
Symmetry-Basel,2073-8994,2073-8994,Multidisciplinary Sciences,Web of Science - SCIE
Symmetry-Culture And Science,0865-4824,2226-1877,"Mathematics, Interdisciplinary Applications",Web of Science - ESCI
Symmetry Integrability And Geometry-Methods And Applications,1815-0659,1815-0659,"Mathematics, Physics, Mathematical",Web of Science - SCIE
Symploke,1069-0697,1534-0627,Cultural Studies,Web of Science - ESCI
Symposium-A Quarterly Journal In Modern Literatures,0039-7709,1931-0676,Literature,Web of Science - AHCI
Symposium-Canadian Journal Of Continental Philosophy,1917-9685,2154-5278,Philosophy,Web of Science - ESCI
Synapse-Structure Function Connectivity,0887-4476,1098-2396,Neurosciences,Web of Science - SCIE
Synergies Mexique,2007-4654,2260-8109,Language & Linguistics,Web of Science - ESCI
Synesis,1678-6785,1984-6754,Philosophy,Web of Science - ESCI
Synlett,0936-5214,1437-2096,"Chemistry, Organic",Web of Science - SCIE
Synopen,2509-9396,2509-9396,"Chemistry, Organic",Web of Science - ESCI
Syntax-A Journal Of Theoretical Experimental And Interdisciplinary Research,1368-0005,1467-9612,"Linguistics, Language & Linguistics","Web of Science - AHCI, Web of Science - SSCI"
Synthese,0039-7857,1573-0964,"History & Philosophy Of Science, Philosophy","Web of Science - AHCI, Web of Science - SCIE, Web of Science - SSCI"
Synthesis-La Plata,0328-1205,1851-779X,Classics,Web of Science - AHCI
Synthesis Philosophica,0352-7875,1848-2317,Philosophy,Web of Science - AHCI
Synthesis-Stuttgart,0039-7881,1437-210X,"Chemistry, Organic",Web of Science - SCIE
Synthetic And Systems Biotechnology,2405-805X,2405-805X,Biotechnology & Applied Microbiology,Web of Science - SCIE
Synthetic Biology,2397-7000,2397-7000,"Biochemical Research Methods, Biology, Biotechnology & Applied Microbiology",Web of Science - SCIE
Synthetic Communications,0039-7911,1532-2432,"Chemistry, Organic",Web of Science - SCIE
Synthetic Metals,0379-6779,0379-6779,"Materials Science, Multidisciplinary, Physics, Condensed Matter, Polymer Science",Web of Science - SCIE
System,0346-251X,1879-3282,"Education & Educational Research, Linguistics",Web of Science - SSCI
Systematic And Applied Acarology,1362-1971,2056-6069,Entomology,Web of Science - SCIE
Systematic And Applied Microbiology,0723-2020,1618-0984,"Biotechnology & Applied Microbiology, Microbiology",Web of Science - SCIE
Systematic Biology,1063-5157,1076-836X,Evolutionary Biology,Web of Science - SCIE
Systematic Botany,0363-6445,1548-2324,"Plant Sciences, Evolutionary Biology",Web of Science - SCIE
Systematic Entomology,1365-3113,1365-3113,"Evolutionary Biology, Entomology",Web of Science - SCIE
Systematic Parasitology,0165-5752,1573-5192,Parasitology,Web of Science - SCIE
Systematic Reviews,2046-4053,2046-4053,"Medicine, General & Internal",Web of Science - SCIE
Systematics And Biodiversity,1477-2000,1478-0933,Biodiversity Conservation,Web of Science - SCIE
System Dynamics Review,0883-7066,1099-1727,"Management, Social Sciences, Mathematical Methods",Web of Science - SSCI
Systemic Practice And Action Research,1094-429X,1573-9295,Management,Web of Science - SSCI
Systems,2079-8954,2079-8954,"Social Sciences, Interdisciplinary",Web of Science - SSCI
Systems & Control Letters,0167-6911,1872-7956,"Automation & Control Systems, Operations Research & Management Science",Web of Science - SCIE
Systems And Soft Computing,2772-9419,2772-9419,"Computer Science, Interdisciplinary Applications, Artificial Intelligence",Web of Science - ESCI
Systems Biology In Reproductive Medicine,1939-6368,1939-6376,"Andrology, Reproductive Biology",Web of Science - SCIE
Systems Engineering,1098-1241,1520-6858,"Engineering, Industrial, Operations Research & Management Science",Web of Science - SCIE
Systems Microbiology And Biomanufacturing,2662-7655,2662-7663,Biotechnology & Applied Microbiology,Web of Science - ESCI
Systems Research And Behavioral Science,1092-7026,1099-1743,"Management, Social Sciences, Interdisciplinary",Web of Science - SSCI
Systems Science & Control Engineering,2164-2583,2164-2583,Automation & Control Systems,Web of Science - ESCI
Sztuka I Dokumentacja-Art & Documentation,2080-413X,2080-413X,Art,Web of Science - ESCI
Taida Journal Of Art History,1023-2095,,Art,Web of Science - AHCI
Taiwanese Journal Of Mathematics,1027-5487,2224-6851,Mathematics,Web of Science - SCIE
Taiwanese Journal Of Obstetrics & Gynecology,1028-4559,1875-6263,Obstetrics & Gynecology,Web of Science - SCIE
Taiwanese Journal Of Psychiatry,1028-3684,2666-2078,Psychiatry,Web of Science - ESCI
Taiwania,0372-333X,,Plant Sciences,Web of Science - SCIE
Taiwan Journal Of East Asian Studies,1812-6243,1812-6243,Asian Studies,Web of Science - ESCI
Taiwan Journal Of Linguistics,1729-4649,1994-2559,Language & Linguistics,Web of Science - ESCI
Taiwan Journal Of Ophthalmology,2211-5056,2211-5072,Ophthalmology,Web of Science - ESCI
Taiwan Journal Of Tesol,1814-9448,2076-7617,Education & Educational Research,Web of Science - ESCI
Talanta,0039-9140,1873-3573,"Chemistry, Analytical",Web of Science - SCIE
Talanta Open,2666-8319,2666-8319,"Chemistry, Analytical",Web of Science - ESCI
Talia Dixit-Revista Interdisciplinar De Retorica E Historiografia,1886-9440,1886-9440,"Humanities, Multidisciplinary",Web of Science - ESCI
Taller De La Historia,1657-3633,2382-4794,History,Web of Science - ESCI
Taller De Letras,0716-0798,0716-0798,"Literature, Romance",Web of Science - AHCI
Taltech Journal Of European Studies,2674-4600,2674-4619,"Law, Political Science",Web of Science - ESCI
Tamkang Journal Of Mathematics,0049-2930,2073-9826,Mathematics,Web of Science - ESCI
Tangence,1189-4563,1710-0305,"Humanities, Multidisciplinary",Web of Science - ESCI
Tang Studies,0737-5034,1759-7633,Asian Studies,Web of Science - ESCI
Tanz,1869-7720,1869-7720,Dance,Web of Science - AHCI
Tappi Journal,0734-1415,,"Materials Science, Paper & Wood",Web of Science - SCIE
Tapuya-Latin American Science Technology And Society,2572-9861,2572-9861,"History & Philosophy Of Science, Social Issues",Web of Science - ESCI
Targeted Oncology,1776-2596,1776-260X,Oncology,Web of Science - SCIE
Target-International Journal Of Translation Studies,0924-1884,1569-9986,"Linguistics, Language & Linguistics","Web of Science - AHCI, Web of Science - SSCI"
Tarih Incelemeleri Dergisi,0257-4152,0257-4152,History,Web of Science - ESCI
Taxon,0040-0262,1996-8175,"Plant Sciences, Evolutionary Biology",Web of Science - SCIE
Taxonomy,2673-6500,2673-6500,"Plant Sciences, Zoology",Web of Science - ESCI
Tdr-The Drama Review-The Journal Of Performance Studies,1054-2043,1531-4715,Theater,Web of Science - AHCI
Td-The Journal For Transdisciplinary Research In Southern Africa,1817-4434,2415-2005,"Social Sciences, Interdisciplinary",Web of Science - ESCI
Teacher Development,1366-4530,1747-5120,Education & Educational Research,Web of Science - ESCI
Teacher Education And Special Education,0888-4064,1944-4931,Education & Educational Research,Web of Science - SSCI
Teachers And Teaching,1354-0602,1470-1278,Education & Educational Research,Web of Science - SSCI
Teachers College Record,0161-4681,1467-9620,Education & Educational Research,Web of Science - SSCI
Teaching And Learning In Medicine,1040-1334,1532-8015,"Education, Scientific Disciplines, Health Care Sciences & Services",Web of Science - SCIE
Teaching And Learning In Nursing,1557-3087,1557-2013,Nursing,Web of Science - ESCI
Teaching & Learning Inquiry-The Issotl Journal,2167-4779,2167-4787,Education & Educational Research,Web of Science - ESCI
Teaching And Teacher Education,0742-051X,1879-2480,Education & Educational Research,Web of Science - SSCI
Teaching Artist Journal,1541-1796,1541-180X,Education & Educational Research,Web of Science - ESCI
Teaching Education,1047-6210,1470-1286,Education & Educational Research,Web of Science - ESCI
Teaching Exceptional Children,0040-0599,2163-5684,"Education, Special",Web of Science - ESCI
Teaching In Higher Education,1356-2517,1470-1294,Education & Educational Research,Web of Science - SSCI
Teaching Mathematics And Its Applications,0268-3679,1471-6976,Education & Educational Research,Web of Science - ESCI
Teaching Of Mathematics,1451-4966,2406-1077,"Education, Scientific Disciplines",Web of Science - ESCI
Teaching Of Psychology,0098-6283,1532-8023,"Education & Educational Research, Psychology, Multidisciplinary",Web of Science - SSCI
Teaching Philosophy,0145-5788,2153-6619,Philosophy,Web of Science - AHCI
Teaching Public Administration,0144-7394,2047-8720,"Education & Educational Research, Public Administration",Web of Science - ESCI
Teaching Sociology,0092-055X,1939-862X,"Education & Educational Research, Sociology",Web of Science - SSCI
Teaching Statistics,0141-982X,1467-9639,Education & Educational Research,Web of Science - ESCI
Teaching Theology And Religion,1368-4868,1467-9647,"Education & Educational Research, Religion",Web of Science - ESCI
Teatro E Storia,0394-6932,2239-7272,Theater,Web of Science - ESCI
Tecciencia,1909-3667,2422-3670,"Engineering, Multidisciplinary",Web of Science - ESCI
Tec Empresarial,1659-2395,1659-2395,Management,Web of Science - ESCI
Techne-Journal Of Technology For Architecture And Environment,2239-0243,2239-0243,Architecture,Web of Science - ESCI
Technical Communication Quarterly,1057-2252,1542-7625,Communication,Web of Science - ESCI
Technical Innovations & Patient Support In Radiation Oncology,2405-6324,2405-6324,"Radiology, Nuclear Medicine & Medical Imaging, Oncology",Web of Science - ESCI
Technical Physics,1063-7842,1090-6525,"Physics, Applied",Web of Science - SCIE
Technical Physics Letters,1063-7850,1090-6533,"Physics, Applied",Web of Science - SCIE
Technical Services Quarterly,0731-7131,1555-3337,Information Science & Library Science,Web of Science - ESCI
Techniques And Innovations In Gastrointestinal Endoscopy,2666-5107,2590-0307,Gastroenterology & Hepatology,Web of Science - ESCI
Techniques In Coloproctology,1123-6337,1128-045X,"Gastroenterology & Hepatology, Surgery",Web of Science - SCIE
Techniques In Foot And Ankle Surgery,1536-0644,1538-1943,Orthopedics,Web of Science - ESCI
Techniques In Orthopaedics,0885-9698,2333-0600,Orthopedics,Web of Science - ESCI
Techniques In Vascular And Interventional Radiology,1089-2516,1557-9808,"Radiology, Nuclear Medicine & Medical Imaging",Web of Science - ESCI
Technoetic Arts,1477-965X,1758-9533,"Humanities, Multidisciplinary",Web of Science - ESCI
Technological And Economic Development Of Economy,2029-4913,2029-4921,Economics,Web of Science - SSCI
Technological Forecasting And Social Change,0040-1625,1873-5509,"Business, Regional & Urban Planning",Web of Science - SSCI
Technologies,2227-7080,2227-7080,"Engineering, Multidisciplinary",Web of Science - ESCI
Technology Analysis & Strategic Management,0953-7325,1465-3990,Management,Web of Science - SSCI
Technology And Culture,0040-165X,1097-3729,History & Philosophy Of Science,"Web of Science - AHCI, Web of Science - SCIE, Web of Science - SSCI"
Technology And Disability,1055-4181,1878-643X,Rehabilitation,Web of Science - ESCI
Technology And Health Care,0928-7329,1878-7401,"Health Care Sciences & Services, Engineering, Biomedical",Web of Science - SCIE
Technology And Innovation,1949-8241,1949-825X,Multidisciplinary Sciences,Web of Science - ESCI
Technology-Architecture + Design,2475-1448,2475-143X,"Architecture, Construction & Building Technology",Web of Science - ESCI
Technology In Cancer Research & Treatment,1533-0346,1533-0338,Oncology,Web of Science - SCIE
Technology In Horticulture,2833-4337,2833-4337,Horticulture,Web of Science - ESCI
Technology Innovation Management Review,1927-0321,1927-0321,Management,Web of Science - ESCI
Technology In Society,0160-791X,1879-3274,"Social Issues, Social Sciences, Interdisciplinary",Web of Science - SSCI
Technology Knowledge And Learning,2211-1662,2211-1670,Education & Educational Research,Web of Science - ESCI
"Technology, Mind, And Behavior",2689-0208,2689-0208,"Psychology, Multidisciplinary",Web of Science - ESCI
Technology Pedagogy And Education,1475-939X,1747-5139,Education & Educational Research,Web of Science - SSCI
Technometrics,0040-1706,1537-2723,Statistics & Probability,Web of Science - SCIE
Technovation,0166-4972,1879-2383,"Engineering, Industrial, Operations Research & Management Science, Management","Web of Science - SCIE, Web of Science - SSCI"
Techtrends,8756-3894,1559-7075,Education & Educational Research,Web of Science - ESCI
Tecnologia Ciencia Y Educacion,2444-250X,2444-2887,Education & Educational Research,Web of Science - ESCI
Tecnologia En Marcha,0379-3982,2215-3241,Multidisciplinary Sciences,Web of Science - ESCI
Tecnologia Y Ciencias Del Agua,0187-8336,2007-2422,"Engineering, Civil, Water Resources",Web of Science - SCIE
Tecnoscienza-Italian Journal Of Science & Technology Studies,2038-3460,2038-3460,Social Issues,Web of Science - ESCI
Tectonics,0278-7407,1944-9194,Geochemistry & Geophysics,Web of Science - SCIE
Tectonophysics,0040-1951,1879-3266,Geochemistry & Geophysics,Web of Science - SCIE
Tehnicki Glasnik-Technical Journal,1846-6168,1848-5588,"Engineering, Multidisciplinary",Web of Science - ESCI
Tehnicki Vjesnik-Technical Gazette,1330-3651,1848-6339,"Engineering, Multidisciplinary",Web of Science - SCIE
Tejuelo-Didactica De La Lengua Y La Literatura,1988-8430,1988-8430,Language & Linguistics,Web of Science - ESCI
Teka Komisji Urbanistyki I Architektury,0079-3450,2450-0038,Architecture,Web of Science - ESCI
Teknokultura: Revista De Cultura Digital Y Movimientos Sociales,1549-2230,1549-2230,"Communication, Sociology",Web of Science - ESCI
Tekstilec,0351-3386,2350-3696,"Materials Science, Textiles",Web of Science - ESCI
Tekstil Ve Konfeksiyon,1300-3356,1300-3356,"Materials Science, Textiles",Web of Science - SCIE
Tekst Kniga Knigoizdanie-Text Book Publishing,2306-2061,2311-3774,"Humanities, Multidisciplinary",Web of Science - ESCI
Teksty Drugie,0867-0633,2545-2061,"Literature, Slavic",Web of Science - AHCI
Tel Aviv-Journal Of The Institute Of Archaeology Of Tel Aviv University,0334-4355,2040-4786,Archaeology,Web of Science - AHCI
Telecom,2673-4001,2673-4001,Telecommunications,Web of Science - ESCI
Telecommunications Policy,0308-5961,1879-3258,"Telecommunications, Communication, Information Science & Library Science","Web of Science - SCIE, Web of Science - SSCI"
Telecommunication Systems,1018-4864,1572-9451,Telecommunications,Web of Science - SCIE
Telematics And Informatics,0736-5853,1879-324X,Information Science & Library Science,Web of Science - SSCI
Telematics And Informatics Reports,2772-5030,2772-5030,Information Science & Library Science,Web of Science - ESCI
Telematique,1856-4194,1856-4194,Telecommunications,Web of Science - ESCI
Telemedicine And E-Health,1530-5627,1556-3669,Health Care Sciences & Services,Web of Science - SCIE
Telemedicine Reports,2692-4366,2692-4366,Health Care Sciences & Services,Web of Science - ESCI
Television & New Media,1527-4764,1552-8316,"Communication, Film, Radio, Television","Web of Science - AHCI, Web of Science - SSCI"
Tellus Series A-Dynamic Meteorology And Oceanography,1600-0870,1600-0870,"Meteorology & Atmospheric Sciences, Oceanography",Web of Science - SCIE
Tellus Series B-Chemical And Physical Meteorology,1600-0889,1600-0889,Meteorology & Atmospheric Sciences,Web of Science - SCIE
Telopea,0312-9764,2200-4025,Plant Sciences,Web of Science - SCIE
Telos,0090-6514,1940-459X,"Political Science, Sociology, Philosophy","Web of Science - AHCI, Web of Science - SSCI"
Telos-Revista De Estudios Interdisciplinarios En Ciencias Sociales,2343-5763,1317-0570,"Social Sciences, Interdisciplinary",Web of Science - ESCI
Tema-Journal Of Land Use Mobility And Environment,1970-9889,1970-9870,Urban Studies,Web of Science - ESCI
Temas Agrarios,0122-7610,2389-9182,Agronomy,Web of Science - ESCI
Temas Americanistas,1988-7868,0212-4408,History,Web of Science - ESCI
Temas De Nuestra America-Revista De Estudios Latinoamericanos,0259-2339,0259-2339,Area Studies,Web of Science - ESCI
Temas Y Debates,1666-0714,1853-984X,Political Science,Web of Science - ESCI
Temenos,0497-1817,,Religion,Web of Science - AHCI
Temida,1450-6637,1450-6637,Criminology & Penology,Web of Science - ESCI
Tem Journal-Technology Education Management Informatics,2217-8309,2217-8333,"Computer Science, Information Systems",Web of Science - ESCI
Tempo,0040-2982,1478-2286,Music,Web of Science - AHCI
Tempo E Argumento,2175-1803,2175-1803,History,Web of Science - ESCI
Tempo-Niteroi,1413-7704,1980-542X,History,Web of Science - AHCI
Tempo Social,0103-2070,1809-4554,Sociology,Web of Science - SSCI
Tenside Surfactants Detergents,0932-3414,2195-8564,"Chemistry, Applied, Physical, Engineering, Chemical",Web of Science - SCIE
Teoliteraria-Revista Brasileira De Literaturas E Teologias,2236-9937,2236-9937,Religion,Web of Science - ESCI
Teologia,0328-1396,0328-1396,Religion,Web of Science - ESCI
Teologia Y Vida,0049-3449,0717-6295,Religion,Web of Science - AHCI
Teorema,0210-1602,,Philosophy,Web of Science - AHCI
Teoria De La Educacion,1130-3743,2386-5660,Education & Educational Research,Web of Science - ESCI
Teoria E Pratica Em Administracao-Tpa,2238-104X,2238-104X,Management,Web of Science - ESCI
Teoria-Rivista Di Filosofia,1122-1259,,Philosophy,Web of Science - AHCI
Teoria Y Realidad Constitucional,1139-5583,2174-8950,Political Science,Web of Science - ESCI
Teorija In Praksa,0040-3598,0040-3598,"Social Sciences, Interdisciplinary",Web of Science - ESCI
Terapevticheskii Arkhiv,0040-3660,2309-5342,"Medicine, General & Internal",Web of Science - SCIE
Terapia Psicologica,0718-4808,0718-4808,"Psychology, Clinical",Web of Science - SSCI
Tercio Creciente,2340-9096,2340-9096,"Humanities, Multidisciplinary",Web of Science - ESCI
Ter Es Tarsadalom,2062-9923,2062-9923,Geography,Web of Science - ESCI
Terminology,0929-9971,1569-9994,"Linguistics, Language & Linguistics","Web of Science - AHCI, Web of Science - SSCI"
Terra Economicus,2073-6606,2073-6606,Economics,Web of Science - ESCI
Terrae Incognitae-The Journal Of The Society For The History Of Discoveries,0082-2884,2040-8706,History,Web of Science - ESCI
Terra Latinoamericana,2395-8030,2395-8030,"Agronomy, Soil Science",Web of Science - ESCI
Terra Nova,0954-4879,1365-3121,"Geosciences, Multidisciplinary",Web of Science - SCIE
Terrestrial Atmospheric And Oceanic Sciences,1017-0839,2311-7680,"Geosciences, Multidisciplinary, Meteorology & Atmospheric Sciences, Oceanography",Web of Science - SCIE
Territoire En Mouvement,1954-4863,1950-5698,Geography,Web of Science - ESCI
Territorios,0123-8418,2215-7484,Urban Studies,Web of Science - ESCI
Territorio Sociedad Y Poder-Revista De Estudios Medievales,2341-1163,2341-1163,Medieval & Renaissance Studies,Web of Science - ESCI
Territory Politics Governance,2162-2671,2162-268X,"Geography, Political Science",Web of Science - SSCI
Terrorism And Political Violence,0954-6553,1556-1836,"International Relations, Political Science",Web of Science - SSCI
Tertiary Education And Management,1358-3883,1573-1936,Education & Educational Research,Web of Science - ESCI
Tesl Canada Journal,0826-435X,1925-8917,Education & Educational Research,Web of Science - ESCI
Tesol Journal,1056-7941,1949-3533,Education & Educational Research,Web of Science - ESCI
Tesol Quarterly,0039-8322,1545-7249,"Education & Educational Research, Linguistics",Web of Science - SSCI
Test,1133-0686,1863-8260,Statistics & Probability,Web of Science - SCIE
Tethys-Journal Of Mediterranean Meteorology & Climatology,1697-1523,1139-3394,Meteorology & Atmospheric Sciences,Web of Science - ESCI
Tetrahedron,0040-4020,1464-5416,"Chemistry, Organic",Web of Science - SCIE
Tetrahedron Chem,2666-951X,2666-951X,"Chemistry, Organic",Web of Science - ESCI
Tetrahedron Letters,0040-4039,1873-3581,"Chemistry, Organic",Web of Science - SCIE
Tetsu To Hagane-Journal Of The Iron And Steel Institute Of Japan,0021-1575,1883-2954,Metallurgy & Metallurgical Engineering,Web of Science - SCIE
Texas Heart Institute Journal,0730-2347,1526-6702,Cardiac & Cardiovascular System,Web of Science - SCIE
Texas Law Review,0040-4411,1942-857X,Law,Web of Science - SSCI
Texas Studies In Literature And Language,0040-4691,1534-7303,Literature,Web of Science - AHCI
Text & Kritik,0040-5329,0040-5329,"Literature, German, Dutch, Scandinavian",Web of Science - AHCI
Text And Performance Quarterly,1046-2937,1479-5760,"Humanities, Multidisciplinary",Web of Science - AHCI
Text & Talk,1860-7330,1860-7349,"Communication, Linguistics, Language & Linguistics","Web of Science - AHCI, Web of Science - SSCI"
Textile-Cloth And Culture,1475-9756,1751-8350,"Humanities, Multidisciplinary",Web of Science - AHCI
Textile History,0040-4969,1743-2952,"Humanities, Multidisciplinary",Web of Science - AHCI
Textile Progress,0040-5167,1754-2278,"Materials Science, Textiles",Web of Science - ESCI
Textile Research Journal,0040-5175,1746-7748,"Materials Science, Textiles",Web of Science - SCIE
Textiles,2673-7248,2673-7248,"Materials Science, Textiles",Web of Science - ESCI
Text Matters-A Journal Of Literature Theory And Culture,2083-2931,2084-574X,Literary Theory & Criticism,Web of Science - ESCI
Texto Livre-Linguagem E Tecnologia,1983-3652,1983-3652,Language & Linguistics,Web of Science - ESCI
Textual Practice,0950-236X,1470-1308,Literature,Web of Science - AHCI
Textus,0082-3767,2589-255X,Religion,Web of Science - ESCI
Thai Journal Of Mathematics,1686-0209,1686-0209,Mathematics,Web of Science - ESCI
Thai Journal Of Veterinary Medicine,0125-6491,0125-6491,Veterinary Sciences,Web of Science - SCIE
Thailand Statistician,1685-9057,2351-0676,Statistics & Probability,Web of Science - ESCI
Thalassas,0212-5919,2366-1674,"Marine & Freshwater Biology, Oceanography",Web of Science - SCIE
Thalassemia Reports,2039-4357,2039-4365,Hematology,Web of Science - ESCI
Theater,0161-0775,1527-196X,Theater,Web of Science - AHCI
Theater Heute,0040-5507,0040-5507,Theater,Web of Science - AHCI
Theatre Dance And Performance Training,1944-3927,1944-3919,"Dance, Theater",Web of Science - AHCI
Theatre History Studies,0733-2033,2166-9953,Theater,Web of Science - AHCI
Theatre Journal,0192-2882,1086-332X,Theater,Web of Science - AHCI
Theatre Notebook,0040-5523,2051-8358,Theater,Web of Science - AHCI
Theatre Research International,0307-8833,1474-0672,Theater,Web of Science - AHCI
Theatre Survey,0040-5574,1475-4533,Theater,Web of Science - AHCI
Theleme-Revista Complutense De Estudios Franceses,1139-9368,1989-8193,"Literature, Romance",Web of Science - ESCI
Themata-Revista De Filosofia,0212-8365,2253-900X,Philosophy,Web of Science - ESCI
Theological Studies,0040-5639,2169-1304,Religion,Web of Science - AHCI
Theology,0040-571X,2044-2696,Religion,Web of Science - ESCI
Theology And Science,1474-6700,1474-6719,"History & Philosophy Of Science, Religion","Web of Science - AHCI, Web of Science - SCIE"
Theology & Sexuality,1355-8358,1745-5170,Religion,Web of Science - ESCI
Theology Today,0040-5736,2044-2556,Religion,Web of Science - AHCI
Theoretical And Applied Climatology,0177-798X,1434-4483,Meteorology & Atmospheric Sciences,Web of Science - SCIE
Theoretical And Applied Ecology,1995-4301,2618-8406,Ecology,Web of Science - ESCI
Theoretical And Applied Fracture Mechanics,0167-8442,1872-7638,"Engineering, Mechanical, Mechanics",Web of Science - SCIE
Theoretical And Applied Genetics,0040-5752,1432-2242,"Agronomy, Plant Sciences, Genetics & Heredity, Horticulture",Web of Science - SCIE
Theoretical And Applied Mechanics,1450-5584,1450-5584,Mechanics,Web of Science - ESCI
Theoretical And Applied Mechanics Letters,2095-0349,2589-0336,Mechanics,Web of Science - ESCI
Theoretical And Computational Fluid Dynamics,0935-4964,1432-2250,"Mechanics, Physics, Fluids & Plasmas",Web of Science - SCIE
Theoretical And Experimental Chemistry,0040-5760,1573-935X,"Chemistry, Multidisciplinary",Web of Science - SCIE
Theoretical And Experimental Plant Physiology,2197-0025,2197-0025,Plant Sciences,Web of Science - SCIE
Theoretical And Mathematical Physics,0040-5779,1573-9333,"Physics, Multidisciplinary, Mathematical",Web of Science - SCIE
Theoretical And Practical Issues Of Journalism,2308-6203,2308-6211,Communication,Web of Science - ESCI
Theoretical Biology Forum,2282-2593,2283-7175,Biology,Web of Science - SCIE
Theoretical Chemistry Accounts,1432-881X,1432-2234,"Chemistry, Physical",Web of Science - SCIE
Theoretical Computer Science,0304-3975,1879-2294,"Computer Science, Theory & Methods",Web of Science - SCIE
Theoretical Criminology,1362-4806,1461-7439,Criminology & Penology,Web of Science - SSCI
Theoretical Ecology,1874-1738,1874-1746,Ecology,Web of Science - SCIE
Theoretical Economics,1933-6837,1555-7561,Economics,Web of Science - SSCI
Theoretical Foundations Of Chemical Engineering,0040-5795,1608-3431,"Engineering, Chemical",Web of Science - SCIE
Theoretical Issues In Ergonomics Science,1463-922X,1464-536X,Ergonomics,Web of Science - ESCI
Theoretical Linguistics,0301-4428,1613-4060,"Linguistics, Language & Linguistics","Web of Science - AHCI, Web of Science - SSCI"
Theoretical Medicine And Bioethics,1386-7415,1573-1200,"Ethics, Social Issues, Social Sciences, Biomedical",Web of Science - SSCI
Theoretical Population Biology,0040-5809,1096-0325,"Ecology, Evolutionary Biology, Genetics & Heredity, Mathematical & Computational Biology",Web of Science - SCIE
Theoria,0040-5817,1558-5816,Sociology,Web of Science - ESCI
Theoria-A Swedish Journal Of Philosophy,0040-5825,1755-2567,Philosophy,Web of Science - AHCI
Theoria-Revista De Teoria Historia Y Fundamentos De La Ciencia,0495-4548,2171-679X,"History & Philosophy Of Science, Philosophy",Web of Science - AHCI
Theory And Applications Of Categories,1201-561X,,"Mathematics, Applied",Web of Science - SCIE
Theory And Decision,0040-5833,1573-7187,"Economics, Social Sciences, Mathematical Methods",Web of Science - SSCI
Theory And Practice Of Legislation,2050-8840,2050-8859,Law,Web of Science - ESCI
Theory And Practice Of Logic Programming,1471-0684,1475-3081,"Computer Science, Software Engineering, Theory & Methods, Logic",Web of Science - SCIE
Theory & Psychology,0959-3543,1461-7447,"Psychology, Multidisciplinary",Web of Science - SSCI
Theory And Research In Education,1477-8785,1741-3192,Education & Educational Research,Web of Science - ESCI
Theory And Research In Social Education,0093-3104,2163-1654,Education & Educational Research,Web of Science - SSCI
Theory And Society,0304-2421,1573-7853,Sociology,Web of Science - SSCI
Theory Culture & Society,0263-2764,1460-3616,Cultural Studies,"Web of Science - AHCI, Web of Science - SSCI"
Theory In Action,1937-0229,1937-0237,"Social Sciences, Interdisciplinary",Web of Science - ESCI
Theory In Biosciences,1431-7613,1611-7530,"Biology, Mathematical & Computational Biology",Web of Science - SCIE
Theory Into Practice,0040-5841,1543-0421,Education & Educational Research,Web of Science - SSCI
Theory Of Computing,1557-2862,1557-2862,"Computer Science, Theory & Methods",Web of Science - SCIE
Theory Of Computing Systems,1432-4350,1433-0490,"Computer Science, Theory & Methods, Mathematics",Web of Science - SCIE
Theory Of Probability And Its Applications,0040-585X,1095-7219,Statistics & Probability,Web of Science - SCIE
Theory Of Probability And Mathematical Statistics,0094-9000,1547-7363,Statistics & Probability,Web of Science - ESCI
Theranostics,1838-7640,1838-7640,"Medicine, Research & Experimental",Web of Science - SCIE
Therapeutic Advances In Allergy And Rhinology,2753-4030,2753-4030,Otorhinolaryngology,Web of Science - ESCI
Therapeutic Advances In Cardiovascular Disease,1753-9447,1753-9455,Cardiac & Cardiovascular System,Web of Science - ESCI
Therapeutic Advances In Chronic Disease,2040-6223,2040-6231,Pharmacology & Pharmacy,Web of Science - SCIE
Therapeutic Advances In Drug Safety,2042-0986,2042-0994,Pharmacology & Pharmacy,Web of Science - SCIE
Therapeutic Advances In Endocrinology And Metabolism,2042-0188,2042-0196,Endocrinology & Metabolism,Web of Science - SCIE
Therapeutic Advances In Gastroenterology,1756-2848,1756-2848,Gastroenterology & Hepatology,Web of Science - SCIE
Therapeutic Advances In Gastrointestinal Endoscopy,2631-7745,2631-7745,Gastroenterology & Hepatology,Web of Science - ESCI
Therapeutic Advances In Hematology,2040-6207,2040-6215,Hematology,Web of Science - SCIE
Therapeutic Advances In Infectious Disease,2049-9361,2049-937X,Infectious Diseases,Web of Science - ESCI
Therapeutic Advances In Medical Oncology,1758-8340,1758-8359,Oncology,Web of Science - SCIE
Therapeutic Advances In Musculoskeletal Disease,1759-720X,1759-7218,Rheumatology,Web of Science - SCIE
Therapeutic Advances In Neurological Disorders,1756-2856,1756-2864,Clinical Neurology,Web of Science - SCIE
Therapeutic Advances In Ophthalmology,2515-8414,2515-8414,Ophthalmology,Web of Science - ESCI
Therapeutic Advances In Psychopharmacology,2045-1253,2045-1261,"Pharmacology & Pharmacy, Psychiatry",Web of Science - SCIE
