Journal title,ISSN,eISSN,Categorias,Indexador
Acs Applied Energy Materials,2574-0962,2574-0962,"Chemistry, Physical, Energy & Fuels, Materials Science, Multidisciplinary",Web of Science - SCIE
Acs Applied Engineering Materials,2771-9545,2771-9545,"Materials Science, Multidisciplinary",Web of Science - ESCI
Acs Applied Materials & Interfaces,1944-8244,1944-8252,"Nanoscience & Nanotechnology, Materials Science, Multidisciplinary",Web of Science - SCIE
Acs Applied Nano Materials,2574-0970,2574-0970,"Nanoscience & Nanotechnology, Materials Science, Multidisciplinary",Web of Science - SCIE
Acs Applied Optical Materials,2771-9855,2771-9855,"Materials Science, Multidisciplinary, Optics",Web of Science - ESCI
Acs Applied Polymer Materials,2637-6105,2637-6105,"Materials Science, Multidisciplinary, Polymer Science",Web of Science - SCIE
Acs Bio & Med Chem Au,2694-2437,2694-2437,"Biochemistry & Molecular Biology, Chemistry, Medicinal",Web of Science - ESCI
Acs Biomaterials Science & Engineering,2373-9878,2373-9878,"Materials Science, Biomaterials",Web of Science - SCIE
Acs Catalysis,2155-5435,2155-5435,"Chemistry, Physical",Web of Science - SCIE
Acs Central Science,2374-7943,2374-7951,"Chemistry, Multidisciplinary",Web of Science - SCIE
Acs Chemical Biology,1554-8929,1554-8937,Biochemistry & Molecular Biology,Web of Science - SCIE
Acs Chemical Health & Safety,1878-0504,1878-0504,"Public, Environmental & Occupational Health",Web of Science - ESCI
Acs Chemical Neuroscience,1948-7193,1948-7193,"Biochemistry & Molecular Biology, Chemistry, Medicinal, Neurosciences",Web of Science - SCIE
Acs Earth And Space Chemistry,2472-3452,2472-3452,"Chemistry, Multidisciplinary, Geochemistry & Geophysics",Web of Science - SCIE
Acs Energy Letters,2380-8195,2380-8195,"Chemistry, Physical, Electrochemistry, Energy & Fuels, Nanoscience & Nanotechnology, Materials Science, Multidisciplinary",Web of Science - SCIE
Acs Engineering Au,2694-2488,2694-2488,"Engineering, Chemical",Web of Science - ESCI
Acs Environmental Au,2694-2518,2694-2518,"Engineering, Environmental, Environmental Sciences",Web of Science - ESCI
Acs Es&T Air,2837-1402,2837-1402,"Meteorology & Atmospheric Sciences, Engineering, Environmental",Web of Science - ESCI
Acs Es&T Engineering,2690-0645,2690-0645,"Engineering, Environmental",Web of Science - ESCI
Acs Es&T Water,2690-0637,2690-0637,"Environmental Sciences, Water Resources",Web of Science - ESCI
Acs Food Science & Technology,2692-1944,2692-1944,Food Science & Technology,Web of Science - ESCI
Acs Infectious Diseases,2373-8227,2373-8227,"Chemistry, Medicinal, Infectious Diseases",Web of Science - SCIE
Acs Macro Letters,2161-1653,2161-1653,Polymer Science,Web of Science - SCIE
Acs Materials Au,2694-2461,2694-2461,"Chemistry, Physical, Materials Science, Multidisciplinary",Web of Science - ESCI
Acs Materials Letters,2639-4979,2639-4979,"Materials Science, Multidisciplinary",Web of Science - SCIE
Acs Measurement Science Au,2694-250X,2694-250X,"Chemistry, Analytical",Web of Science - ESCI
Acs Medicinal Chemistry Letters,1948-5875,1948-5875,"Chemistry, Medicinal",Web of Science - SCIE
Acsms Health & Fitness Journal,1091-5397,1536-593X,Sport Sciences,Web of Science - SCIE
Acs Nano,1936-0851,1936-086X,"Chemistry, Multidisciplinary, Physical, Nanoscience & Nanotechnology, Materials Science",Web of Science - SCIE
Acs Nanoscience Au,2694-2496,2694-2496,Nanoscience & Nanotechnology,Web of Science - ESCI
Acs Omega,2470-1343,2470-1343,"Chemistry, Multidisciplinary",Web of Science - SCIE
Acs Organic & Inorganic Au,2694-247X,2694-247X,"Chemistry, Multidisciplinary",Web of Science - ESCI
Acs Pharmacology & Translational Science,2575-9108,2575-9108,"Chemistry, Medicinal, Pharmacology & Pharmacy",Web of Science - ESCI
Acs Photonics,2330-4022,2330-4022,"Nanoscience & Nanotechnology, Materials Science, Multidisciplinary, Optics, Physics, Applied, Condensed Matter",Web of Science - SCIE
Acs Physical Chemistry Au,2694-2445,2694-2445,"Chemistry, Physical",Web of Science - ESCI
Acs Polymers Au,2694-2453,2694-2453,Polymer Science,Web of Science - ESCI
Acs Sensors,2379-3694,2379-3694,"Chemistry, Multidisciplinary, Analytical, Nanoscience & Nanotechnology",Web of Science - SCIE
Acs Sustainable Chemistry & Engineering,2168-0485,2168-0485,"Chemistry, Multidisciplinary, Green & Sustainable Science & Technology, Engineering, Chemical",Web of Science - SCIE
Acs Synthetic Biology,2161-5063,2161-5063,Biochemical Research Methods,Web of Science - SCIE
Acta Acustica,2681-4617,2681-4617,Acoustics,Web of Science - SCIE
Acta Adriatica,0001-5113,1846-0453,"Marine & Freshwater Biology, Oceanography",Web of Science - SCIE
Acta Agriculturae Scandinavica Section A-Animal Science,0906-4702,1651-1972,"Agriculture, Dairy & Animal Science",Web of Science - SCIE
Acta Agriculturae Scandinavica Section B-Soil And Plant Science,0906-4710,1651-1913,"Agronomy, Soil Science",Web of Science - SCIE
Acta Agrobotanica,0065-0951,2300-357X,Plant Sciences,Web of Science - ESCI
Acta Alimentaria,0139-3006,1588-2535,"Food Science & Technology, Nutrition & Dietetics",Web of Science - SCIE
Acta Amazonica,0044-5967,1809-4392,"Plant Sciences, Ecology, Zoology",Web of Science - SCIE
Acta Anaesthesiologica Belgica,0001-5164,2736-5239,Anesthesiology,Web of Science - ESCI
Acta Anaesthesiologica Scandinavica,0001-5172,1399-6576,Anesthesiology,Web of Science - SCIE
Acta Analytica-International Periodical For Philosophy In The Analytical Tradition,0353-5150,1874-6349,Philosophy,Web of Science - AHCI
Acta Et Commentationes Universitatis Tartuensis De Mathematica,1406-2283,2228-4699,Mathematics,Web of Science - ESCI
Acta Angiologica,1234-950X,1644-3276,Peripheral Vascular Diseases,Web of Science - ESCI
Acta Applicandae Mathematicae,0167-8019,1572-9036,"Mathematics, Applied",Web of Science - SCIE
Acta Archaeologica,0065-101X,1600-0390,Archaeology,Web of Science - AHCI
Acta Arithmetica,0065-1036,1730-6264,Mathematics,Web of Science - SCIE
Acta Astronautica,0094-5765,1879-2030,"Engineering, Aerospace",Web of Science - SCIE
Acta Astronomica,0001-5237,0001-5237,Astronomy & Astrophysics,Web of Science - SCIE
Acta Balneologica,2082-1867,2082-1867,Rehabilitation,Web of Science - ESCI
Acta Baltico-Slavica,0065-1044,2392-2389,"Humanities, Multidisciplinary",Web of Science - ESCI
Acta Biochimica Et Biophysica Sinica,1672-9145,1745-7270,"Biochemistry & Molecular Biology, Biophysics",Web of Science - SCIE
Acta Biochimica Polonica,1734-154X,1734-154X,Biochemistry & Molecular Biology,Web of Science - SCIE
Acta Bioclinica,2244-8136,2244-8136,"Dentistry, Oral Surgery & Medicine",Web of Science - ESCI
Acta Bioethica,0717-5906,1726-569X,"Medical Ethics, Ethics, Social Sciences, Biomedical","Web of Science - SCIE, Web of Science - SSCI"
Acta Biologica Colombiana,0120-548X,1900-1649,"Plant Sciences, Zoology",Web of Science - SCIE
Acta Biologica Cracoviensia Series Botanica,0001-5296,1898-0295,Plant Sciences,Web of Science - SCIE
Acta Biomaterialia,1742-7061,1878-7568,"Engineering, Biomedical, Materials Science, Biomaterials",Web of Science - SCIE
Acta Bioquimica Clinica Latinoamericana,0325-2957,1851-6114,Medical Laboratory Technology,Web of Science - SCIE
Acta Biotheoretica,0001-5342,1572-8358,Mathematical & Computational Biology,Web of Science - SCIE
Acta Borealia,0800-3831,1503-111X,"Humanities, Multidisciplinary",Web of Science - AHCI
Acta Botanica Brasilica,0102-3306,1677-941X,Plant Sciences,Web of Science - SCIE
Acta Botanica Croatica,0365-0588,1847-8476,Plant Sciences,Web of Science - SCIE
Acta Botanica Mexicana,2448-7589,2448-7589,Plant Sciences,Web of Science - SCIE
Acta Brasiliensis,2526-432X,2526-4338,"Agriculture, Multidisciplinary",Web of Science - ESCI
Acta Cardiologica,0001-5385,1784-973X,Cardiac & Cardiovascular System,Web of Science - SCIE
Acta Cardiologica Sinica,1011-6842,1011-6842,Cardiac & Cardiovascular System,Web of Science - SCIE
Acta Carsologica,0583-6050,1580-2612,"Geosciences, Multidisciplinary",Web of Science - SCIE
Acta Chemica Iasi,2067-2438,2067-2446,"Chemistry, Multidisciplinary",Web of Science - ESCI
Acta Chimica Sinica,0567-7351,,"Chemistry, Multidisciplinary",Web of Science - SCIE
Acta Chimica Slovaca,1337-978X,1339-3065,"Chemistry, Multidisciplinary",Web of Science - ESCI
Acta Chimica Slovenica,1318-0207,1580-3155,"Chemistry, Multidisciplinary",Web of Science - SCIE
Acta Chiropterologica,1508-1109,1733-5329,Zoology,Web of Science - SCIE
Acta Chirurgiae Orthopaedicae Et Traumatologiae Cechoslovaca,0001-5415,0001-5415,Orthopedics,Web of Science - SCIE
Acta Chirurgica Belgica,0001-5458,2577-0160,Surgery,Web of Science - SCIE
Acta Chromatographica,1233-2356,2083-5736,"Chemistry, Analytical",Web of Science - SCIE
Acta Cirurgica Brasileira,0102-8650,1678-2674,Surgery,Web of Science - SCIE
Acta Classica,0065-1141,2227-538X,Classics,Web of Science - AHCI
Acta Clinica Belgica,1784-3286,2295-3337,"Medicine, General & Internal",Web of Science - SCIE
Acta Clinica Croatica,0353-9466,1333-9451,"Medicine, General & Internal",Web of Science - SCIE
Acta Colombiana De Psicologia,0123-9155,1909-9711,"Psychology, Clinical",Web of Science - ESCI
Acta Crystallographica A-Foundation And Advances,2053-2733,2053-2733,"Chemistry, Multidisciplinary, Crystallography",Web of Science - SCIE
Acta Crystallographica Section B-Structural Science Crystal Engineering And Materials,2052-5206,2052-5206,"Chemistry, Multidisciplinary, Crystallography",Web of Science - SCIE
Acta Crystallographica Section C-Structural Chemistry,2053-2296,2053-2296,"Chemistry, Multidisciplinary, Crystallography",Web of Science - SCIE
Acta Crystallographica Section D-Structural Biology,2059-7983,2059-7983,"Biochemical Research Methods, Biochemistry & Molecular Biology, Biophysics, Crystallography",Web of Science - SCIE
Acta Crystallographica Section E-Crystallographic Communications,2056-9890,2056-9890,Crystallography,Web of Science - ESCI
Acta Crystallographica Section F-Structural Biology Communications,2053-230X,2053-230X,"Biochemical Research Methods, Biochemistry & Molecular Biology, Biophysics, Crystallography",Web of Science - SCIE
Acta Cybernetica,0324-721X,0324-721X,"Computer Science, Cybernetics",Web of Science - ESCI
Acta Cytologica,0001-5547,1938-2650,Pathology,Web of Science - SCIE
Acta Dermato-Venereologica,0001-5555,1651-2057,Dermatology,Web of Science - SCIE
Acta Dermatovenerologica Alpina Pannonica Et Adriatica,1318-4458,1581-2979,Dermatology,Web of Science - ESCI
Acta Dermatovenerologica Croatica,1330-027X,1847-6538,Dermatology,Web of Science - SCIE
Acta Diabetologica,0940-5429,1432-5233,Endocrinology & Metabolism,Web of Science - SCIE
Acta Endocrinologica-Bucharest,1841-0987,1843-066X,Endocrinology & Metabolism,Web of Science - SCIE
Acta Entomologica Musei Nationalis Pragae,0374-1036,1804-6487,Entomology,Web of Science - SCIE
Acta Epileptologica,2096-9384,2524-4434,Clinical Neurology,Web of Science - ESCI
Acta Ethologica,0873-9749,1437-9546,"Behavioral Sciences, Zoology",Web of Science - SCIE
Acta Facultatis Xylologiae Zvolen,1336-3824,1336-3824,"Materials Science, Paper & Wood",Web of Science - ESCI
Acta Gastro-Enterologica Belgica,1784-3227,1784-3227,Gastroenterology & Hepatology,Web of Science - SCIE
Acta Geochimica,2096-0956,2365-7499,Geochemistry & Geophysics,Web of Science - ESCI
Acta Geodaetica Et Geophysica,2213-5812,2213-5820,Geochemistry & Geophysics,Web of Science - SCIE
Acta Geodynamica Et Geomaterialia,1214-9705,,"Geochemistry & Geophysics, Mining & Mineral Processing",Web of Science - SCIE
Acta Geographica Slovenica-Geografski Zbornik,1581-6613,1581-8314,"Geography, Physical",Web of Science - SCIE
Acta Geologica Polonica,0001-5709,2300-1887,Geology,Web of Science - SCIE
Acta Geologica Sinica-English Edition,1000-9515,1755-6724,"Geosciences, Multidisciplinary",Web of Science - SCIE
Acta Geophysica,1895-6572,1895-7455,Geochemistry & Geophysics,Web of Science - SCIE
Acta Geotechnica,1861-1125,1861-1133,"Engineering, Geological",Web of Science - SCIE
Acta Geotechnica Slovenica,1854-0171,1854-0171,"Engineering, Geological",Web of Science - SCIE
Acta Germanica-German Studies In Africa,0065-1273,0065-1273,Language & Linguistics,Web of Science - ESCI
Acta Gymnica,2336-4912,2336-4920,Sport Sciences,Web of Science - ESCI
Acta Haematologica,0001-5792,1421-9662,Hematology,Web of Science - SCIE
Acta Haematologica Polonica,0001-5814,2300-7117,Hematology,Web of Science - ESCI
Acta Herpetologica,1827-9635,1827-9643,Zoology,Web of Science - SCIE
Acta Histochemica,0065-1281,1618-0372,Cell Biology,Web of Science - SCIE
Acta Histochemica Et Cytochemica,0044-5991,1347-5800,Cell Biology,Web of Science - SCIE
Acta Historica Tallinnensia,1406-2925,1736-7476,History,Web of Science - AHCI
