Título da Revista,ISSN,Homepage,Área do Conhecimento Traduzido,Grande Área CNPq 1,Grande Área CNPq 2,Indexador,JIF,Quartil JCR,SJR,SJR Best Quartile,H index,CNPq_Grande_Area,CNPq_Area_Conhecimento
Thin-Walled Structures,0263-8231,,Engenharia,Engenharias,,Scopus,"6,6",Q1,"1,734",Q1,147.0,Outras / Não Classificado,Geral / Multidisciplinar
Think (UK),1755-1196,,Artes e Humanidades,"Letras e Artes, Lingüística",,Scopus,"0,1",-,"0,131",Q3,4.0,"Lingüística, Letras e Artes",Artes
Thinking Skills and Creativity,1871-1871,,Ciências Sociais,Ciências Humanas,,Scopus,"4,5",Q1,"1,715",Q1,84.0,Outras / Não Classificado,Geral / Multidisciplinar
Thinking and Reasoning,1464-0708,,"Artes e Humanidades, Psicologia","Letras e Artes, Lingüística",Ciências Humanas,Scopus,"2,3",Q2,"0,924",Q1,61.0,Ciências Humanas,Psicologia
Third Text,0952-8822,,"Artes e Humanidades, Ciências Sociais","Letras e Artes, Lingüística",Ciências Humanas,Scopus,"0,1",-,"0,111",Q3,26.0,"Lingüística, Letras e Artes",Artes
Third World Quarterly,0143-6597,,Ciências Sociais,Ciências Humanas,,Scopus,"1,8",Q2,"0,806",Q1,123.0,Outras / Não Classificado,Geral / Multidisciplinar
Thomist,0040-6325,,Artes e Humanidades,"Letras e Artes, Lingüística",,Scopus,"0,2",-,"0,142",Q2,16.0,"Lingüística, Letras e Artes",Artes
Thoracic Cancer,1759-7714,,Medicina,Ciências da Saúde,,Scopus,"2,3",Q2,"0,779",Q2,60.0,Ciências da Saúde,Medicina
Thoracic Research and Practice,2979-9139,,Medicina,Ciências da Saúde,,Scopus,-,-,"0,278",Q3,17.0,Ciências da Saúde,Medicina
Thoracic Surgery Clinics,1547-4127,,Medicina,Ciências da Saúde,,Scopus,"1,8",Q2,"0,613",Q2,62.0,Ciências da Saúde,Medicina
Thoracic and Cardiovascular Surgeon,1439-1902,,Medicina,Ciências da Saúde,,Scopus,"1,4",Q3,"0,428",Q2,61.0,Ciências da Saúde,Medicina
"Thoracic and Cardiovascular Surgeon, Supplement",0946-4778,,Medicina,Ciências da Saúde,,Scopus,-,-,"0,294",Q3,14.0,Ciências da Saúde,Medicina
Thorax,1468-3296,,Medicina,Ciências da Saúde,,Scopus,"7,7",Q1,"2,479",Q1,270.0,Ciências da Saúde,Medicina
Thrombosis Journal,1477-9560,,Medicina,Ciências da Saúde,,Scopus,"2,2",Q3,"0,735",Q2,54.0,Ciências da Saúde,Medicina
Thrombosis Research,0049-3848,,Medicina,Ciências da Saúde,,Scopus,"3,4",Q2,"1,046",Q1,141.0,Ciências da Saúde,Medicina
Thrombosis Update,2666-5727,,Medicina,Ciências da Saúde,,Scopus,-,-,"0,53",Q2,11.0,Ciências da Saúde,Medicina
Thrombosis and Haemostasis,0340-6245,,Medicina,Ciências da Saúde,,Scopus,"4,3",Q1,"1,584",Q1,217.0,Ciências da Saúde,Medicina
Thunderbird International Business Review,1096-4762,,"Ciências Sociais, Gestão e Contabilidade, Negócios",Ciências Humanas,,Scopus,"3,2",Q2,"0,661",Q1,59.0,Outras / Não Classificado,Geral / Multidisciplinar
Thyroid,1557-9077,,"Bioquímica, Genética e Biologia Molecular, Medicina",Ciências da Saúde,,Scopus,"6,7",Q1,"1,905",Q1,182.0,Ciências Biológicas,Biologia Geral
Thyroid Research,1756-6614,,"Bioquímica, Genética e Biologia Molecular, Medicina, Neurociência",Ciências da Saúde,Ciências Biológicas,Scopus,-,-,"0,544",Q3,32.0,Ciências Biológicas,Biologia Geral
Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)/Journal of Tianjin University Science and Technology,0493-2137,,Multidisciplinar,Multidisciplinar,,Scopus,-,-,"0,192",Q3,26.0,Outras / Não Classificado,Geral / Multidisciplinar
Tianran Chanwu Yanjiu yu Kaifa,1001-6880,,Química,Ciências Exatas e da Terra,,Scopus,-,-,"0,167",Q4,12.0,Ciências Exatas e da Terra,Química
Tichodroma,2644-4992,,"Ciência Ambiental, Ciências Agrárias e Biológicas",Ciências Agrárias,Ciências Exatas e da Terra,Scopus,-,-,"0,13",Q4,3.0,Outras / Não Classificado,Geral / Multidisciplinar
Ticks and Tick-borne Diseases,1877-9603,,"Ciências Agrárias e Biológicas, Imunologia e Microbiologia, Medicina",Multidisciplinar,,Scopus,"3,4",Q1,"1,007",Q1,74.0,Ciências Biológicas,Biologia Geral
Tidsskrift for Samfunnsforskning,1504-291X,,Ciências Sociais,Ciências Humanas,,Scopus,"0,4",Q3,"0,177",Q3,12.0,Outras / Não Classificado,Geral / Multidisciplinar
Tidsskrift for den Norske Legeforening,0029-2001,,Medicina,Ciências da Saúde,,Scopus,"1,3",Q2,"0,159",Q4,37.0,Ciências da Saúde,Medicina
Tiedao Xuebao/Journal of the China Railway Society,1001-8360,,Engenharia,Engenharias,,Scopus,-,-,"0,529",Q2,42.0,Outras / Não Classificado,Geral / Multidisciplinar
Tien Tzu Hsueh Pao/Acta Electronica Sinica,0372-2112,,Engenharia,Engenharias,,Scopus,-,-,"0,22",Q3,54.0,Outras / Não Classificado,Geral / Multidisciplinar
Tierarztliche Praxis Ausgabe G: Grosstiere - Nutztiere,1434-1220,,Veterinária,Ciências Agrárias,,Scopus,"0,3",Q4,"0,189",Q3,23.0,Outras / Não Classificado,Geral / Multidisciplinar
